ID_Venda,ID_Cliente,ID_Produto,Data,Quantidade,Canal,Valor_Total
115,525,67,2023-04-11,3,Loja Física,4372.08
116,849,66,2022-12-01,4,Loja Física,11623.12
117,32,16,2022-12-12,4,Online,19817.32
118,393,83,2024-02-19,1,Online,1063.6
119,40,94,2024-06-19,4,Online,1622.92
120,660,16,2023-01-24,1,Loja Física,4954.33
121,218,31,2022-10-12,1,Online,4041.63
122,731,58,2024-02-10,4,Online,14112.92
123,981,28,2024-09-01,4,Online,19914.36
124,82,4,2024-05-01,2,Loja Física,340.94
125,845,10,2023-03-08,1,Loja Física,3135.68
126,720,51,2022-09-16,4,Loja Física,9321.36
127,201,18,2024-05-04,2,Loja Física,4534.48
128,447,47,2022-03-25,2,Online,6432.22
129,844,32,2023-04-27,1,Online,3603.99
130,428,30,2022-01-20,3,Loja Física,9847.77
131,38,36,2024-02-07,4,Loja Física,13625.8
132,211,9,2023-07-07,4,Loja Física,16807.56
133,444,36,2022-02-23,4,Online,13625.8
134,327,29,2024-09-01,4,Loja Física,19629.92
135,761,16,2022-12-25,4,Online,19817.32
136,227,92,2022-08-18,4,Loja Física,9514.2
137,48,21,2023-10-28,2,Loja Física,2442.98
138,18,64,2022-03-12,1,Loja Física,2069.25
139,912,66,2024-03-10,2,Online,5811.56
140,439,59,2024-09-07,4,Loja Física,16827.84
141,807,99,2023-10-30,1,Online,4277.48
142,708,28,2022-02-11,4,Online,19914.36
143,187,55,2024-02-12,1,Loja Física,193.81
144,345,31,2022-02-01,2,Online,8083.26
145,224,33,2024-08-30,1,Loja Física,3006.48
146,830,87,2022-09-11,2,Loja Física,9972.94
147,488,60,2022-07-24,4,Loja Física,16135.08
148,909,41,2024-05-09,1,Loja Física,2551.76
149,877,81,2022-01-21,3,Online,12986.04
150,849,46,2023-09-29,3,Online,2596.23
151,229,49,2022-06-06,2,Loja Física,1957.68
152,390,65,2022-09-02,2,Loja Física,1706.18
153,979,42,2022-05-10,2,Online,6970.66
154,589,23,2023-04-30,2,Online,9296.18
155,188,27,2023-11-17,4,Online,4548.08
156,858,89,2022-04-28,3,Online,13491.27
157,270,32,2023-08-01,2,Loja Física,7207.98
158,607,83,2024-08-28,1,Online,1063.6
159,310,88,2022-08-12,1,Online,247.13
160,132,3,2023-04-22,4,Loja Física,4947.56
161,551,60,2023-12-18,2,Loja Física,8067.54
162,72,76,2022-09-20,1,Online,3073.55
163,793,99,2024-02-25,2,Loja Física,8554.96
164,845,79,2023-01-13,1,Online,3329.32
165,672,17,2022-06-21,4,Loja Física,15231.92
166,187,32,2023-09-13,1,Online,3603.99
167,486,7,2023-09-14,2,Loja Física,7670.56
168,191,83,2024-09-13,2,Online,2127.2
169,422,71,2024-02-05,4,Loja Física,7356.52
170,120,69,2024-01-06,3,Online,8872.89
171,220,58,2022-04-28,2,Loja Física,7056.46
172,53,40,2024-03-07,3,Loja Física,2760.15
173,734,85,2024-04-18,2,Loja Física,3007.9
174,451,48,2022-06-17,4,Loja Física,12146.32
175,412,51,2024-09-14,1,Loja Física,2330.34
176,643,57,2022-11-15,3,Online,9262.56
177,237,71,2022-04-21,1,Loja Física,1839.13
178,758,37,2023-08-16,4,Loja Física,13679.6
179,738,87,2022-01-27,4,Online,19945.88
180,720,75,2024-08-09,4,Online,2057.48
181,406,74,2022-11-16,2,Loja Física,4348.68
182,608,85,2023-08-13,2,Loja Física,3007.9
183,422,55,2023-11-25,2,Loja Física,387.62
184,712,41,2024-07-18,2,Online,51035.200000000004
185,247,97,2024-09-08,3,Loja Física,14637.54
186,72,20,2023-01-20,4,Online,8028.92
187,830,33,2023-02-11,3,Online,9019.44
188,185,40,2024-08-22,2,Online,1840.1
189,6,99,2024-01-03,1,Loja Física,4277.48
190,206,34,2022-07-23,3,Loja Física,1084.23
191,544,62,2022-03-19,1,Loja Física,2726.08
192,611,91,2023-08-30,2,Loja Física,9739.14
193,906,19,2023-12-09,3,Online,10698.75
194,387,43,2024-04-30,3,Loja Física,10547.91
195,768,69,2023-10-05,3,Online,8872.89
196,699,63,2022-09-06,1,Loja Física,2493.63
197,76,93,2022-04-15,2,Online,8504.4
198,177,10,2023-12-15,4,Loja Física,12542.72
199,827,13,2024-03-02,4,Loja Física,17342.88
200,799,93,2022-11-05,2,Online,8504.4
201,349,5,2024-05-20,3,Loja Física,11535.99
202,255,58,2023-12-02,4,Loja Física,14112.92
203,837,59,2023-09-07,3,Online,12620.88
204,702,76,2024-04-04,2,Online,6147.1
205,308,59,2022-05-04,1,Online,4206.96
206,345,77,2024-03-26,3,Online,13250.31
207,127,86,2023-08-03,1,Loja Física,4032.94
208,937,15,2024-03-12,1,Loja Física,2946.66
209,287,77,2022-02-12,2,Online,8833.54
210,766,1,2022-12-22,2,Loja Física,3265.22
211,725,38,2023-06-30,1,Loja Física,1928.3
212,762,53,2023-03-15,1,Online,4203.1
213,596,52,2023-11-09,4,Online,13488.12
214,487,1,2023-01-15,4,Loja Física,6530.44
215,383,11,2022-03-12,2,Loja Física,5721.28
216,406,58,2023-06-03,3,Online,10584.69
217,388,40,2023-10-26,1,Online,920.05
218,525,86,2022-12-16,3,Online,12098.82
219,557,99,2022-01-13,1,Loja Física,4277.48
220,639,60,2024-05-19,2,Online,8067.54
221,938,44,2023-03-07,3,Online,9834.99
222,626,6,2024-04-22,2,Loja Física,6312.68
223,945,28,2023-05-17,1,Online,4978.59
224,276,31,2022-04-19,2,Online,8083.26
225,500,8,2023-03-20,3,Online,872.4
226,717,5,2024-09-10,4,Loja Física,15381.32
227,337,54,2023-01-06,2,Loja Física,1863.34
228,950,17,2023-10-13,3,Online,11423.94
229,932,38,2024-07-01,2,Loja Física,3856.6
230,481,9,2024-04-28,2,Online,8403.78
231,897,74,2023-04-16,4,Loja Física,8697.36
232,911,84,2023-12-26,3,Loja Física,11140.17
233,973,78,2022-06-06,3,Online,13278.84
234,273,14,2023-03-22,3,Online,8927.97
235,920,26,2022-06-30,1,Loja Física,2685.62
236,58,93,2024-01-22,2,Loja Física,8504.4
237,328,62,2023-06-19,4,Loja Física,10904.32
238,731,91,2024-09-15,3,Loja Física,14608.71
239,109,25,2023-10-29,4,Online,7101.36
240,279,80,2022-10-04,1,Loja Física,1135.04
241,686,36,2023-09-23,1,Online,3406.45
242,328,98,2024-04-07,4,Online,16412.68
243,776,80,2024-07-30,3,Loja Física,3405.12
244,315,33,2023-07-06,4,Loja Física,12025.92
245,474,3,2024-03-04,3,Loja Física,3710.67
246,111,87,2023-05-11,3,Online,14959.41
247,699,11,2023-04-22,1,Online,2860.64
248,781,58,2023-03-23,4,Loja Física,14112.92
249,935,64,2024-04-25,1,Loja Física,2069.25
250,229,18,2024-01-19,2,Loja Física,4534.48
251,497,47,2023-08-30,1,Online,3216.11
252,156,44,2022-10-02,3,Online,9834.99
253,473,93,2022-11-27,4,Loja Física,17008.8
254,701,59,2024-05-22,2,Online,8413.92
255,272,50,2022-09-09,2,Online,7110.36
256,887,69,2024-04-30,2,Online,5915.26
257,2,88,2024-08-15,2,Online,494.26
258,758,29,2022-03-30,4,Loja Física,19629.92
259,722,93,2022-10-13,3,Loja Física,12756.6
260,511,90,2024-06-21,2,Loja Física,6301.78
261,913,67,2023-04-07,3,Online,4372.08
262,286,2,2022-09-07,1,Loja Física,3306.28
263,871,25,2024-02-08,3,Loja Física,5326.02
264,13,19,2023-04-21,2,Online,7132.5
265,608,40,2023-08-07,1,Online,920.05
266,498,2,2023-09-17,1,Online,3306.28
267,733,83,2023-11-16,1,Loja Física,1063.6
268,238,65,2023-01-24,2,Loja Física,1706.18
269,94,62,2022-12-11,3,Online,8178.24
270,338,91,2022-01-30,4,Loja Física,19478.28
271,781,54,2023-05-22,3,Loja Física,2795.01
272,171,45,2024-05-21,2,Online,2897.82
273,981,49,2022-11-29,2,Online,1957.68
274,606,99,2022-07-06,1,Loja Física,4277.48
275,661,69,2023-05-15,3,Loja Física,8872.89
276,624,38,2022-08-06,2,Online,3856.6
277,567,4,2022-12-30,2,Online,340.94
278,849,17,2024-03-27,4,Online,15231.92
279,936,53,2022-09-22,3,Online,12609.3
280,467,85,2022-12-15,1,Loja Física,1503.95
281,628,53,2022-10-14,1,Loja Física,4203.1
282,143,31,2024-06-20,1,Loja Física,4041.63
283,201,22,2023-09-03,3,Loja Física,9073.71
284,180,11,2023-12-20,2,Loja Física,5721.28
285,714,34,2024-06-20,2,Online,722.82
286,364,15,2022-10-10,4,Online,11786.64
287,479,10,2023-07-24,4,Online,12542.72
288,565,96,2022-01-11,2,Online,856.76
289,471,53,2023-06-14,2,Loja Física,8406.2
290,384,48,2024-08-28,3,Loja Física,9109.74
291,692,31,2022-07-15,4,Online,16166.52
292,926,37,2022-03-29,1,Loja Física,3419.9
293,417,28,2022-09-05,1,Online,4978.59
294,825,31,2024-01-08,1,Loja Física,4041.63
295,308,70,2023-02-21,1,Loja Física,3004.92
296,649,14,2023-05-16,2,Loja Física,5951.98
297,694,87,2023-07-23,2,Loja Física,9972.94
298,367,16,2024-02-16,3,Loja Física,14862.99
299,1,25,2022-09-04,1,Loja Física,1775.34
300,44,39,2023-12-09,2,Loja Física,9428.58
301,739,66,2023-05-03,2,Online,5811.56
302,843,38,2023-10-24,2,Online,3856.6
303,98,41,2023-12-30,1,Loja Física,2551.76
304,720,98,2023-05-18,2,Online,8206.34
305,265,40,2023-04-04,4,Online,3680.2
306,800,64,2024-03-22,1,Online,2069.25
307,783,89,2022-01-18,1,Online,4497.09
308,140,16,2022-04-06,4,Online,19817.32
309,481,82,2022-10-29,3,Loja Física,13325.58
310,237,77,2022-08-15,3,Loja Física,13250.31
311,974,59,2023-02-19,1,Loja Física,4206.96
312,953,91,2023-12-10,1,Online,4869.57
313,904,98,2022-09-07,1,Online,4103.17
314,72,11,2022-11-10,4,Loja Física,11442.56
315,667,1,2023-11-11,2,Online,3265.22
316,190,13,2023-08-19,4,Loja Física,17342.88
317,268,30,2023-01-13,2,Loja Física,6565.18
318,321,69,2023-04-30,2,Online,5915.26
319,107,18,2023-07-21,3,Online,6801.72
320,232,78,2023-06-28,4,Online,17705.12
321,42,13,2022-12-19,4,Loja Física,17342.88
322,702,32,2023-03-12,1,Loja Física,3603.99
323,883,71,2024-02-03,4,Loja Física,7356.52
324,139,72,2023-07-18,2,Loja Física,709.5
325,615,50,2022-12-05,2,Online,7110.36
326,683,71,2022-12-27,4,Loja Física,7356.52
327,863,80,2023-12-21,3,Online,3405.12
328,273,31,2023-04-10,3,Loja Física,12124.89
329,481,51,2022-10-05,1,Loja Física,2330.34
330,416,27,2022-11-10,1,Loja Física,1137.02
331,506,60,2022-09-15,2,Loja Física,8067.54
332,733,33,2022-08-25,4,Loja Física,12025.92
333,725,53,2022-05-04,2,Loja Física,8406.2
334,853,93,2024-01-09,2,Online,8504.4
335,424,72,2022-07-17,4,Loja Física,1419.0
336,407,33,2022-11-20,2,Online,6012.96
337,568,41,2022-05-03,2,Online,5103.52
338,390,19,2024-01-31,3,Loja Física,10698.75
339,342,85,2023-07-03,1,Loja Física,1503.95
340,946,41,2024-08-31,3,Loja Física,7655.28
341,614,85,2024-02-20,1,Online,1503.95
342,933,89,2023-12-08,1,Online,4497.09
343,493,42,2022-07-09,1,Online,3485.33
344,192,23,2022-07-16,3,Online,13944.27
345,499,75,2022-08-10,4,Loja Física,2057.48
346,822,33,2024-01-27,2,Online,6012.96
347,712,20,2023-05-11,4,Online,8028.92
348,233,25,2022-10-11,4,Online,7101.36
349,945,90,2024-01-12,1,Online,3150.89
350,227,52,2023-08-27,1,Loja Física,3372.03
351,371,12,2024-09-27,3,Loja Física,9481.83
352,139,32,2024-02-18,3,Loja Física,10811.97
353,856,33,2023-06-22,2,Loja Física,6012.96
354,817,74,2023-09-04,4,Loja Física,8697.36
355,149,68,2022-10-17,4,Online,18457.64
356,115,15,2022-04-13,2,Online,5893.32
357,450,51,2024-05-02,1,Online,2330.34
358,63,6,2022-07-18,3,Online,9469.02
359,104,91,2022-10-31,2,Online,9739.14
360,851,69,2022-08-21,4,Loja Física,11830.52
361,871,69,2023-01-05,2,Online,5915.26
362,668,82,2022-07-03,2,Loja Física,8883.72
363,273,92,2022-11-06,4,Loja Física,9514.2
364,6,35,2022-01-15,4,Loja Física,9313.4
365,147,86,2023-12-27,3,Online,12098.82
366,184,34,2023-07-01,3,Online,1084.23
367,998,63,2022-05-10,4,Online,9974.52
368,28,68,2022-10-08,3,Loja Física,13843.23
369,962,18,2022-02-16,3,Loja Física,6801.72
370,550,26,2024-09-24,3,Online,8056.86
371,119,86,2022-02-25,4,Loja Física,16131.76
372,293,97,2023-07-21,1,Loja Física,4879.18
373,371,61,2022-10-27,1,Loja Física,4808.51
374,244,78,2023-12-16,3,Online,13278.84
375,580,95,2024-08-24,1,Loja Física,1742.87
376,726,74,2022-05-10,3,Online,6523.02
377,218,88,2023-10-16,1,Online,247.13
378,177,85,2024-06-08,1,Loja Física,1503.95
379,299,48,2024-02-10,2,Loja Física,6073.16
380,676,72,2023-05-18,3,Loja Física,1064.25
381,58,96,2022-04-16,1,Online,428.38
382,269,31,2024-06-12,1,Online,4041.63
383,308,34,2022-01-13,2,Loja Física,722.82
384,570,87,2023-08-11,1,Loja Física,4986.47
385,288,89,2022-10-19,2,Online,8994.18
386,977,7,2023-04-26,1,Loja Física,3835.28
387,105,83,2023-05-06,2,Online,2127.2
388,228,7,2023-03-28,2,Loja Física,7670.56
389,247,47,2022-12-15,4,Loja Física,12864.44
390,700,8,2022-07-08,3,Loja Física,872.4
391,494,78,2024-09-15,4,Online,17705.12
392,83,1,2022-02-22,3,Loja Física,4897.83
393,186,77,2022-09-16,1,Loja Física,4416.77
394,252,3,2024-08-21,3,Online,3710.67
395,355,53,2024-06-01,4,Online,16812.4
396,750,92,2023-05-05,3,Online,7135.65
397,872,38,2022-04-27,4,Online,7713.2
398,696,51,2024-04-21,3,Online,6991.02
399,796,15,2022-03-08,1,Online,2946.66
400,897,67,2023-02-15,1,Online,1457.36
401,938,64,2023-05-19,3,Online,6207.75
402,210,68,2022-03-17,3,Loja Física,13843.23
403,816,5,2023-08-14,1,Loja Física,3845.33
404,808,90,2023-10-07,3,Loja Física,9452.67
405,609,89,2023-12-04,2,Loja Física,8994.18
406,447,10,2022-02-24,1,Online,3135.68
407,460,8,2022-06-05,1,Online,290.8
408,968,12,2022-06-02,4,Online,12642.44
409,472,64,2024-04-10,4,Online,8277.0
410,720,59,2023-07-31,2,Online,8413.92
411,370,67,2024-08-29,3,Loja Física,4372.08
412,900,91,2022-11-08,2,Loja Física,9739.14
413,934,50,2022-03-29,3,Online,10665.54
414,492,23,2022-09-12,4,Loja Física,18592.36
415,923,40,2022-05-02,3,Online,2760.15
416,137,97,2023-07-26,4,Online,19516.72
417,367,78,2024-02-22,1,Loja Física,4426.28
418,912,87,2023-03-03,1,Loja Física,4986.47
419,184,95,2023-09-13,3,Online,5228.61
420,588,77,2023-09-03,4,Loja Física,17667.08
421,287,76,2024-03-20,2,Online,6147.1
422,472,99,2023-09-26,4,Online,17109.92
423,375,18,2022-08-20,4,Loja Física,9068.96
424,654,21,2024-03-05,4,Online,4885.96
425,749,1,2023-06-20,1,Online,1632.61
426,537,38,2023-01-25,4,Loja Física,7713.2
427,511,41,2023-04-07,3,Online,7655.28
428,802,42,2024-07-19,1,Online,3485.33
429,579,9,2023-03-30,1,Loja Física,4201.89
430,250,23,2022-11-01,1,Loja Física,4648.09
431,920,78,2024-05-30,4,Loja Física,17705.12
432,510,11,2023-08-26,2,Online,5721.28
433,630,71,2023-03-16,4,Online,7356.52
434,73,31,2022-11-09,4,Loja Física,16166.52
435,282,88,2023-08-06,2,Loja Física,494.26
436,916,26,2023-09-28,4,Online,10742.48
437,960,30,2022-03-03,3,Loja Física,9847.77
438,360,34,2023-09-17,2,Online,722.82
439,10,46,2024-09-10,3,Online,2596.23
440,211,69,2024-01-28,3,Loja Física,8872.89
441,835,5,2022-04-12,1,Online,3845.33
442,152,61,2024-08-28,1,Loja Física,4808.51
443,5,83,2024-02-21,2,Online,2127.2
444,195,38,2022-08-01,4,Online,7713.2
445,954,28,2023-10-03,3,Online,14935.77
446,283,26,2022-08-05,4,Loja Física,10742.48
447,464,61,2022-09-28,3,Online,14425.53
448,113,23,2023-11-08,1,Online,4648.09
449,271,46,2022-03-25,1,Loja Física,865.41
450,163,30,2022-06-10,1,Loja Física,3282.59
451,460,67,2022-09-03,2,Online,2914.72
452,105,92,2022-06-27,3,Loja Física,7135.65
453,693,33,2023-07-20,4,Online,12025.92
454,556,3,2022-03-18,3,Online,3710.67
455,282,69,2022-06-10,4,Online,11830.52
456,687,83,2022-01-03,4,Online,4254.4
457,162,42,2023-02-23,4,Online,13941.32
458,983,62,2023-04-07,3,Online,8178.24
459,351,58,2023-12-07,1,Loja Física,3528.23
460,434,57,2023-09-01,2,Online,6175.04
461,852,1,2023-04-27,2,Online,3265.22
462,140,73,2022-10-26,1,Loja Física,255.54
463,471,60,2022-02-03,2,Online,80675.4
464,132,69,2022-08-26,4,Online,11830.52
465,87,59,2022-10-23,2,Online,8413.92
466,688,46,2023-12-25,3,Online,2596.23
467,183,34,2022-10-17,1,Loja Física,361.41
468,368,97,2023-12-21,1,Online,4879.18
469,129,25,2024-05-30,1,Loja Física,1775.34
470,246,42,2023-04-10,1,Loja Física,3485.33
471,601,29,2022-03-14,3,Loja Física,14722.44
472,578,25,2023-12-05,4,Online,7101.36
473,670,54,2022-08-28,4,Online,3726.68
474,899,73,2024-08-04,4,Loja Física,1022.16
475,378,67,2022-09-28,2,Loja Física,2914.72
476,149,15,2024-03-17,4,Online,11786.64
477,985,4,2024-03-21,2,Online,340.94
478,852,38,2023-10-03,3,Online,5784.9
479,433,20,2023-08-27,2,Online,4014.46
480,628,23,2023-11-09,4,Online,18592.36
481,726,37,2024-04-03,1,Loja Física,3419.9
482,469,62,2024-08-14,3,Loja Física,8178.24
483,446,8,2022-07-22,4,Loja Física,1163.2
484,481,37,2023-03-12,4,Online,13679.6
485,884,45,2022-04-28,4,Loja Física,5795.64
486,294,97,2023-07-12,3,Online,14637.54
487,765,33,2022-08-19,1,Loja Física,3006.48
488,143,7,2023-10-26,1,Online,3835.28
489,250,22,2022-06-02,1,Loja Física,3024.57
490,878,5,2024-07-19,4,Loja Física,15381.32
491,948,15,2022-09-30,2,Online,5893.32
492,975,21,2024-04-26,4,Online,4885.96
493,302,89,2022-05-26,1,Loja Física,4497.09
494,25,17,2022-03-15,3,Loja Física,11423.94
495,789,56,2022-03-03,2,Online,7835.2
496,984,50,2022-06-19,2,Online,7110.36
497,889,7,2024-03-22,4,Online,15341.12
498,890,50,2022-11-11,3,Loja Física,10665.54
499,901,60,2023-09-02,2,Loja Física,8067.54
500,70,83,2024-02-06,1,Online,1063.6
501,625,7,2024-04-24,4,Loja Física,15341.12
502,875,40,2023-08-06,4,Online,3680.2
503,112,45,2024-08-01,1,Loja Física,1448.91
504,364,59,2022-10-23,1,Online,4206.96
505,303,88,2023-03-26,1,Online,247.13
506,471,75,2022-05-08,2,Loja Física,1028.74
507,964,55,2023-04-25,3,Online,581.43
508,91,64,2023-12-07,2,Online,4138.5
509,530,65,2022-11-08,3,Loja Física,2559.27
510,661,54,2023-12-18,4,Loja Física,3726.68
511,988,96,2023-02-17,3,Loja Física,1285.14
512,739,40,2024-08-23,1,Loja Física,920.05
513,726,53,2022-10-06,2,Online,8406.2
514,872,44,2023-05-28,1,Online,3278.33
515,663,63,2023-07-07,4,Online,9974.52
516,192,2,2023-05-21,2,Online,6612.56
517,963,79,2023-03-25,2,Online,6658.64
518,552,21,2022-03-24,1,Loja Física,1221.49
519,242,88,2023-09-05,2,Loja Física,494.26
520,138,50,2022-02-10,1,Online,3555.18
521,345,81,2024-06-29,3,Loja Física,12986.04
522,180,52,2023-03-19,4,Loja Física,13488.12
523,712,9,2024-01-23,1,Loja Física,4201.89
524,503,99,2022-11-27,4,Loja Física,17109.92
525,203,20,2023-09-11,2,Loja Física,4014.46
526,573,83,2022-09-14,4,Online,4254.4
527,192,18,2022-01-27,4,Loja Física,9068.96
528,5,84,2022-04-04,4,Online,14853.56
529,890,30,2022-08-23,2,Online,6565.18
530,237,65,2024-09-11,3,Online,2559.27
531,693,24,2023-11-22,3,Online,13958.34
532,311,88,2024-05-06,3,Online,741.39
533,549,47,2024-05-31,1,Loja Física,3216.11
534,56,83,2023-08-13,1,Online,1063.6
535,443,94,2023-08-25,2,Online,811.46
536,237,90,2024-08-31,3,Online,9452.67
537,870,44,2022-01-22,4,Loja Física,13113.32
538,861,29,2024-02-23,3,Loja Física,14722.44
539,197,77,2023-11-20,1,Loja Física,4416.77
540,585,68,2024-04-21,2,Loja Física,9228.82
541,571,17,2022-10-03,3,Online,11423.94
542,752,97,2023-08-14,1,Online,4879.18
543,514,5,2022-02-11,1,Online,3845.33
544,449,92,2024-02-21,4,Online,9514.2
545,360,88,2024-02-14,3,Online,741.39
546,700,81,2022-06-29,4,Loja Física,17314.72
547,819,50,2023-04-27,3,Online,10665.54
548,30,40,2023-06-16,2,Loja Física,1840.1
549,779,46,2023-10-30,3,Online,2596.23
550,988,51,2023-03-29,4,Loja Física,9321.36
551,108,11,2024-07-27,4,Loja Física,11442.56
552,844,12,2022-10-12,1,Loja Física,3160.61
553,935,13,2022-07-05,3,Online,13007.16
554,602,64,2023-08-23,3,Loja Física,6207.75
555,717,8,2023-03-23,2,Online,581.6
556,891,65,2023-10-13,1,Online,853.09
557,968,9,2024-04-13,4,Loja Física,16807.56
558,959,92,2023-05-19,3,Loja Física,7135.65
559,960,2,2024-09-19,1,Loja Física,3306.28
560,445,78,2022-04-04,2,Loja Física,8852.56
561,893,13,2023-04-27,1,Online,4335.72
562,438,2,2022-12-23,3,Online,9918.84
563,732,68,2023-02-23,3,Online,13843.23
564,890,76,2022-12-08,2,Loja Física,6147.1
565,606,48,2022-11-25,2,Loja Física,6073.16
566,457,74,2023-11-18,2,Loja Física,4348.68
567,615,3,2022-04-18,4,Loja Física,4947.56
